type,short_title,long_title,plan_type,label,id,date,short_topic,long_topic,lat,lon,zone,zone_detail,name,role,start,end
discussion,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,Discuss the completed travel plans to Waveside Townhomes in Lomark,NA,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,affordable_housing_Travel_Tidewater_Flats,Travel to Tidewater Flats in Lomark,Travel,affordable_housing_Travel_Tidewater_Flats,affordable_housing_Travel_Tidewater_Flats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,affordable_housing,affordable_housing,NA,affordable_housing,Affordable housing for fishing workers (conflict with short-term rentals),NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 4,Meeting_4,Meeting 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,Provide cost-benefit analysis of implementing a fish vacuum,NA,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,waterfront_market_Meeting_7_Benefits_Feasibility,Discuss the benefits and feasibility of establishing a waterfront market,Discussion,waterfront_market_Meeting_7_Benefits_Feasibility,waterfront_market_Meeting_7_Benefits_Feasibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,name_inspection_office_Meeting_8_Importance,Discuss the importance of naming the inspection office,presentation,name_inspection_office_Meeting_8_Importance,name_inspection_office_Meeting_8_Importance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 3,Meeting_3,Meeting 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,concert_Meeting_16_Road_Closures,Status of road closures and traffic issues for concert,Report,concert_Meeting_16_Road_Closures,concert_Meeting_16_Road_Closures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,new_crane_lomark_Meeting_5_Cost_Impact_Report,Get a formal cost impact & environment report,report,new_crane_lomark_Meeting_5_Cost_Impact_Report,new_crane_lomark_Meeting_5_Cost_Impact_Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,Get a formal cost impact & environment report started,NA,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,PTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 6,Meeting_6,Meeting 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,new_crane_lomark_Meeting_8_Share_Findings,Share findings and plan next steps,report,new_crane_lomark_Meeting_8_Share_Findings,new_crane_lomark_Meeting_8_Share_Findings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,expanding_tourist_wharf_Meeting_9_Report,Get a formal cost impact & environment report,Report,expanding_tourist_wharf_Meeting_9_Report,expanding_tourist_wharf_Meeting_9_Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,affordable_housing_Meeting_9_Invite_Developers,Invite housing developers,feedback,affordable_housing_Meeting_9_Invite_Developers,affordable_housing_Meeting_9_Invite_Developers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,name_harbor_area_Meeting_10_Historical_Significance_Discussion,Provide historical significance for naming the customs office,NA,name_harbor_area_Meeting_10_Historical_Significance_Discussion,name_harbor_area_Meeting_10_Historical_Significance_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,Update on formal cost impact & environment report,NA,expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,statue_john_smoth_Travel_The_Bait_Stich_Discussion,Discuss travel plans to The Bait & Stich for feedback gathering,NA,statue_john_smoth_Travel_The_Bait_Stich_Discussion,statue_john_smoth_Travel_The_Bait_Stich_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 10,Meeting_10,Meeting 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,affordable_housing_Travel_Tidewater_Flats_Discussion,Discuss travel plans to Tidewater Flats in Lomark,NA,affordable_housing_Travel_Tidewater_Flats_Discussion,affordable_housing_Travel_Tidewater_Flats_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,Gather ideas for new name for the park,NA,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,renaming_park_himark_Meeting_4_Name_Ideas_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,new_crane_lomark_Meeting_4_Cost_Analysis,Present cost analysis for the new crane,presentation,new_crane_lomark_Meeting_4_Cost_Analysis,new_crane_lomark_Meeting_4_Cost_Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,new_crane_lomark_Meeting_8_Share_Findings_Discussion,Share findings and plan next steps,NA,new_crane_lomark_Meeting_8_Share_Findings_Discussion,new_crane_lomark_Meeting_8_Share_Findings_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,Discuss the completed travel plans to Tidewater Flats in Lomark,NA,affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,new_crane_lomark,new_crane_lomark,NA,new_crane_lomark,Money for a new crane at Lomark,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Harbor Route Solutions,35889363,NA,NA,NA,-165.68041773674673,38.98946585258907,industrial,NA,NA,NA,NA,NA
discussion,affordable_housing_Meeting_8_Gather_Feedback_Discussion,Gather community feedback on housing needs,NA,affordable_housing_Meeting_8_Gather_Feedback_Discussion,affordable_housing_Meeting_8_Gather_Feedback_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,deep_fishing_dock_Meeting_4_Recommendation,Provide recommendation based on visit feedback,take action,deep_fishing_dock_Meeting_4_Recommendation,deep_fishing_dock_Meeting_4_Recommendation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,Provide cost-benefit analysis of implementing a fish vacuum,proposal,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,name_inspection_office_Meeting_8_Importance_Discussion,Discuss the importance of naming the inspection office,NA,name_inspection_office_Meeting_8_Importance_Discussion,name_inspection_office_Meeting_8_Importance_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,name_inspection_office,name_inspection_office,NA,name_inspection_office,Putting a name on the inspection office in Lomark,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,waterfront_market,waterfront_market,NA,waterfront_market,Establishing a Waterfront Market in Haacklee,NA,NA,NA,NA,NA,NA,NA,NA
discussion,name_inspection_office_Meeting_9_Community_Vote_Discussion,Organize a community vote on the name,NA,name_inspection_office_Meeting_9_Community_Vote_Discussion,name_inspection_office_Meeting_9_Community_Vote_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,fish_vacuum,fish_vacuum,NA,fish_vacuum,Fish Vacuum,NA,NA,NA,NA,NA,NA,NA,NA
entity.person,NA,NA,NA,NA,Teddy Goldstein,NA,NA,NA,NA,NA,NA,NA,Teddy Goldstein,Treasurer,NA,NA
discussion,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,Present cost analysis for the new crane,NA,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,heritage_walking_tour_Meeting_7_Discussion,Discuss and outline the proposed heritage walking tour route and main landmarks,NA,heritage_walking_tour_Meeting_7_Discussion,heritage_walking_tour_Meeting_7_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,Discuss and share initial views on expanding the tourist wharf/infrastructure,NA,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,expanding_tourist_wharf,expanding_tourist_wharf,NA,expanding_tourist_wharf,Expanding the tourist wharf/infrastructure in Haacklee,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,Builders Association,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,heritage_walking_tour,heritage_walking_tour,NA,heritage_walking_tour,Developing a Heritage Walking Tour in Haacklee,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,concert,concert,NA,concert,Plan for Concert,NA,NA,NA,NA,NA,NA,NA,NA
discussion,expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,Update on formal cost impact & environment report,NA,expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,waterfront_market_Meeting_9_Report,"Plan a detailed plan for the market, including layout and vendor requirements",Report,waterfront_market_Meeting_9_Report,waterfront_market_Meeting_9_Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,fish_vacuum_Meeting_1_Introduction,General Introduction to what a fish vacuum is,presentation,fish_vacuum_Meeting_1_Introduction,fish_vacuum_Meeting_1_Introduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 7,Meeting_7,Meeting 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,Industrial Shipping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Waveside Townhomes,48468290,NA,NA,NA,-165.60067726355345,39.52500051834688,residential,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,High Seas Fishing Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 2,Meeting_2,Meeting 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 11,Meeting_11,Meeting 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 8,Meeting_8,Meeting 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,marine_life_deck_Meeting_12_Environmental_Impact_Report_Discussion,Present findings from the environmental impact study,NA,marine_life_deck_Meeting_12_Environmental_Impact_Report_Discussion,marine_life_deck_Meeting_12_Environmental_Impact_Report_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,low_volume_crane_Meeting_8_Report_Discussion,Report on travel and submit letter of support for low-volume unload crane,NA,low_volume_crane_Meeting_8_Report_Discussion,low_volume_crane_Meeting_8_Report_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,affordable_housing_Meeting_10_Housing_Proposal,Report on travel findings and draft housing proposal suggestion,proposal,affordable_housing_Meeting_10_Housing_Proposal,affordable_housing_Meeting_10_Housing_Proposal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Tidewater Flats,48480127,NA,NA,NA,-165.57066762430367,39.53933129844945,residential,NA,NA,NA,NA,NA
topic,NA,NA,NA,renaming_park_himark,renaming_park_himark,NA,renaming_park_himark,Renaming a park in Himark,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,Paackland Container Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,name_harbor_area_Meeting_10_Historical_Significance,Provide historical significance for naming the customs office,presentation,name_harbor_area_Meeting_10_Historical_Significance,name_harbor_area_Meeting_10_Historical_Significance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,concert_Meeting_7_Concert_Issues,Discuss any issues with concert. Discuss needs to get community feedback on concerns,Discussion,concert_Meeting_7_Concert_Issues,concert_Meeting_7_Concert_Issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,deep_fishing_dock_Meeting_4_Recommendation_Discussion,Provide recommendation based on visit feedback,NA,deep_fishing_dock_Meeting_4_Recommendation_Discussion,deep_fishing_dock_Meeting_4_Recommendation_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,Report on findings from dock visit,NA,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,heritage_walking_tour_Meeting_7_Outline,Discuss and outline the proposed heritage walking tour route and main landmarks,Discussion,heritage_walking_tour_Meeting_7_Outline,heritage_walking_tour_Meeting_7_Outline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,concert_Meeting_16_Road_Closures_Discussion,Status of road closures and traffic issues for concert,NA,concert_Meeting_16_Road_Closures_Discussion,concert_Meeting_16_Road_Closures_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,name_harbor_area_Meeting_12_Public_Opinion,Gather public opinion on name choices and plan the dedication event,proposal,name_harbor_area_Meeting_12_Public_Opinion,name_harbor_area_Meeting_12_Public_Opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,affordable_housing_Meeting_7_Debate,Debate the conflict with short-term rentals,feedback,affordable_housing_Meeting_7_Debate,affordable_housing_Meeting_7_Debate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,statue_john_smoth_Travel_The_Bait_Stich,Travel to The Bait & Stich,Travel,statue_john_smoth_Travel_The_Bait_Stich,statue_john_smoth_Travel_The_Bait_Stich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,fish_vacuum_Meeting_3_Report,Provide report on cost-benefit analysis,report,fish_vacuum_Meeting_3_Report,fish_vacuum_Meeting_3_Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,low_volume_crane_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,Travel,low_volume_crane_Travel_Harbor_Route_Solutions,low_volume_crane_Travel_Harbor_Route_Solutions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,affordable_housing_Meeting_6_Sites_Proposal,Discuss potential sites for affordable housing,proposal,affordable_housing_Meeting_6_Sites_Proposal,affordable_housing_Meeting_6_Sites_Proposal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,name_harbor_area_Meeting_12_Public_Opinion_Discussion,Gather public opinion on name choices and plan the dedication event,NA,name_harbor_area_Meeting_12_Public_Opinion_Discussion,name_harbor_area_Meeting_12_Public_Opinion_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,Saltwater Serenades,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,Tours Central Ticketing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,affordable_housing_Meeting_7_Debate_Discussion,Debate the conflict with short-term rentals,NA,affordable_housing_Meeting_7_Debate_Discussion,affordable_housing_Meeting_7_Debate_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,deep_fishing_dock_Meeting_4_Findings_Report,Report on findings from dock visit,report,deep_fishing_dock_Meeting_4_Findings_Report,deep_fishing_dock_Meeting_4_Findings_Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,low_volume_crane_Meeting_3_Proposal,Discuss potential benefits of low-volume unload crane,proposal,low_volume_crane_Meeting_3_Proposal,low_volume_crane_Meeting_3_Proposal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,fish_vacuum_Meeting_1_Introduction_Discussion,General Introduction to what a fish vacuum is,NA,fish_vacuum_Meeting_1_Introduction_Discussion,fish_vacuum_Meeting_1_Introduction_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,name_inspection_office_Meeting_9_Community_Vote,Organize a community vote on the name,feedback,name_inspection_office_Meeting_9_Community_Vote,name_inspection_office_Meeting_9_Community_Vote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,low_volume_crane,low_volume_crane,NA,low_volume_crane,Low-volume unload crane in Haacklee,NA,NA,NA,NA,NA,NA,NA,NA
discussion,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,Expand on views and ideas discussed in the previous meeting,NA,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.person,NA,NA,NA,NA,Ed Helpsford,NA,NA,NA,NA,NA,NA,NA,Ed Helpsford,Vice Chair,NA,NA
discussion,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,Discuss travel plans to Harbor Route Solutions in Haacklee,NA,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 1,Meeting_1,Meeting 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,NA,NA,deep_fishing_dock,deep_fishing_dock,NA,deep_fishing_dock,Deep maintenance to the commercial fishing dock at Himark,NA,NA,NA,NA,NA,NA,NA,NA
plan,renaming_park_himark_Meeting_4_Name_Ideas,Gather ideas for new name for the park,proposal,renaming_park_himark_Meeting_4_Name_Ideas,renaming_park_himark_Meeting_4_Name_Ideas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 12,Meeting_12,Meeting 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,deep_fishing_dock_Meeting_2_Importance_Discussion,Discuss the importance of maintenance and allocate initial budget,NA,deep_fishing_dock_Meeting_2_Importance_Discussion,deep_fishing_dock_Meeting_2_Importance_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.person,NA,NA,NA,NA,Seal,NA,NA,NA,NA,NA,NA,NA,Seal,Committee Chair,NA,NA
discussion,new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,Get a formal cost impact & environment report started,NA,new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,affordable_housing_Meeting_8_Feedback,Gather community feedback on housing needs,feedback,affordable_housing_Meeting_8_Feedback,affordable_housing_Meeting_8_Feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plan,statue_john_smoth_Meeting_8_Proposal,Present proposal for the statue to honor John Smoth,proposal,statue_john_smoth_Meeting_8_Proposal,statue_john_smoth_Meeting_8_Proposal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meeting,NA,NA,NA,Meeting 5,Meeting_5,Meeting 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,NA,NA,Daughters of Port Grove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,Discuss maintenance plan and designate travel representatives,NA,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,statue_john_smoth_Meeting_8_Proposal_Discussion,Present proposal for the statue to honor John Smoth,NA,statue_john_smoth_Meeting_8_Proposal_Discussion,statue_john_smoth_Meeting_8_Proposal_Discussion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trip,NA,NA,NA,NA,trip_146,0040-04-06,NA,NA,NA,NA,NA,NA,NA,NA,06:09:00,07:36:00
entity.person,NA,NA,NA,NA,Tante Titan,NA,NA,NA,NA,NA,NA,NA,Tante Titan,Member,NA,NA
trip,NA,NA,NA,NA,trip_188,0040-06-20,NA,NA,NA,NA,NA,NA,NA,NA,09:00:00,21:00:00
place,NA,NA,NA,NA,581853838,NA,NA,NA,-164.5619100225969,39.271378990764816,government,,Jordan Administrative Center,NA,NA,NA
trip,NA,NA,NA,NA,trip_33,0040-06-04,NA,NA,NA,NA,NA,NA,NA,NA,07:00:00,19:00:00
place,NA,NA,NA,NA,37828755,NA,NA,NA,-164.35807949540566,39.42597256526823,tourism,restaurant,Dock & Roll Hall of Fame,NA,NA,NA
place,NA,NA,NA,NA,36988183,NA,NA,NA,-165.95536906156963,39.09578125508084,government,customs,Port Grove Customs House,NA,NA,NA
place,NA,NA,NA,NA,48591000,NA,NA,NA,-165.5764102688019,39.53856305049022,government,customs,Port Authority Office,NA,NA,NA
trip,NA,NA,NA,NA,trip_47,0040-04-10,NA,NA,NA,NA,NA,NA,NA,NA,06:38:00,09:31:00
place,NA,NA,NA,NA,4978801697,NA,NA,NA,-165.88276569384072,39.66152345845989,government,post office,Himark Postal Station,NA,NA,NA
trip,NA,NA,NA,NA,trip_177,0040-04-01,NA,NA,NA,NA,NA,NA,NA,NA,09:00:00,21:00:00
place,NA,NA,NA,NA,Paackland Ferry Terminal,NA,NA,NA,-164.40892536689856,39.440779216574775,government,NA,Paackland Ferry Terminal,NA,NA,NA
trip,NA,NA,NA,NA,trip_274,0040-05-10,NA,NA,NA,NA,NA,NA,NA,NA,07:06:00,08:57:00
place,NA,NA,NA,NA,30188848,NA,NA,NA,-165.89024291493132,39.66693913163159,tourism,restaurant,Anchor Way Grill,NA,NA,NA
place,NA,NA,NA,NA,9196630064,NA,NA,NA,-165.88410403403049,39.66355038525348,government,city hall,Himark City Hall,NA,NA,NA
place,NA,NA,NA,NA,35877808,NA,NA,NA,-165.68780873674675,38.989936752589074,government,inspections,Haacklee Inspection Bureau,NA,NA,NA
place,NA,NA,NA,NA,581717431,NA,NA,NA,-164.56100199599447,39.27513421446645,government,environmental,Tropics Environmental Hub,NA,NA,NA
place,NA,NA,NA,NA,582261047,NA,NA,NA,-164.57730210407283,39.26024485966231,government,post office,Centralia Post Office,NA,NA,NA
place,NA,NA,NA,NA,Himark Ferry Terminal,NA,NA,NA,-165.88561230643285,39.65564904671655,government,NA,Himark Ferry Terminal,NA,NA,NA
trip,NA,NA,NA,NA,trip_20,0040-05-27,NA,NA,NA,NA,NA,NA,NA,NA,06:07:00,13:00:00
